codigo_postal,estado,municipio,localidad
"20000","AGU","001","01"
"20010","AGU","001","01"
"20016","AGU","001","01"
"20018","AGU","001","01"
"20020","AGU","001","01"
"20029","AGU","001","01"
"20030","AGU","001","01"
"20040","AGU","001","01"
"20049","AGU","001","01"
"20050","AGU","001","01"
"20059","AGU","001","01"
"20060","AGU","001","01"
"20064","AGU","001","01"
"20070","AGU","001","01"
"20078","AGU","001","01"
"20080","AGU","001","01"
"20089","AGU","001","01"
"20100","AGU","001","01"
"20110","AGU","001","01"
"20115","AGU","001","01"
"20116","AGU","001","01"
"20117","AGU","001","01"
"20118","AGU","001","01"
"20119","AGU","001","01"
"20120","AGU","001","01"
"20123","AGU","001","01"
"20124","AGU","001","01"
"20127","AGU","001","01"
"20129","AGU","001","01"
"20130","AGU","001","01"
"20135","AGU","001","01"
"20136","AGU","001","01"
"20137","AGU","001","01"
"20138","AGU","001","01"
"20140","AGU","001","01"
"20146","AGU","001","01"
"20149","AGU","001","01"
"20150","AGU","001","01"
"20157","AGU","001","01"
"20158","AGU","001","01"
"20159","AGU","001","01"
"20160","AGU","001","01"
"20164","AGU","001","01"
"20169","AGU","001","01"
"20170","AGU","001","01"
"20172","AGU","001","01"
"20174","AGU","001","01"
"20175","AGU","001","01"
"20177","AGU","001","01"
"20179","AGU","001","01"
"20180","AGU","001","01"
"20190","AGU","001","01"
"20196","AGU","001","01"
"20198","AGU","001","01"
"20199","AGU","001","01"
"20200","AGU","001","01"
"20205","AGU","001","01"
"20206","AGU","001","01"
"20207","AGU","001","01"
"20208","AGU","001","01"
"20210","AGU","001","01"
"20216","AGU","001","01"
"20217","AGU","001","01"
"20218","AGU","001","01"
"20219","AGU","001","01"
"20220","AGU","001","01"
"20229","AGU","001","01"
"20230","AGU","001","01"
"20234","AGU","001","01"
"20235","AGU","001","01"
"20236","AGU","001","01"
"20237","AGU","001","01"
"20238","AGU","001","01"
"20239","AGU","001","01"
"20240","AGU","001","01"
"20247","AGU","001","01"
"20248","AGU","001","01"
"20249","AGU","001","01"
"20250","AGU","001","01"
"20255","AGU","001","01"
"20256","AGU","001","01"
"20257","AGU","001","01"
"20259","AGU","001","01"
"20260","AGU","001","01"
"20263","AGU","001","01"
"20264","AGU","001","01"
"20265","AGU","001","01"
"20266","AGU","001","01"
"20267","AGU","001","01"
"20268","AGU","001","01"
"20269","AGU","001","01"
"20270","AGU","001","01"
"20276","AGU","001","01"
"20277","AGU","001","01"
"20278","AGU","001","01"
"20280","AGU","001","01"
"20283","AGU","001","01"
"20284","AGU","001","01"
"20285","AGU","001","01"
"20286","AGU","001","01"
"20287","AGU","001","01"
"20288","AGU","001","01"
"20289","AGU","001","01"
"20290","AGU","001","01"
"20291","AGU","001","01"
"20296","AGU","001","01"
"20297","AGU","001","01"
"20299","AGU","001","01"
"20300","AGU","011","03"
"20303","AGU","011","03"
"20304","AGU","011","03"
"20305","AGU","011","03"
"20400","AGU","007","06"
"20403","AGU","007","06"
"20404","AGU","007","06"
"20405","AGU","007","06"
"20406","AGU","007","06"
"20410","AGU","007","06"
"20414","AGU","007","06"
"20415","AGU","007","06"
"20416","AGU","007","06"
"20417","AGU","007","06"
"20460","AGU","004","09"
"20462","AGU","004","09"
"20466","AGU","004","09"
"20467","AGU","004","09"
"20468","AGU","004","09"
"20469","AGU","004","09"
"20600","AGU","009","08"
"20602","AGU","009","08"
"20603","AGU","009","08"
"20604","AGU","009","08"
"20605","AGU","009","08"
"20607","AGU","009","08"
"20608","AGU","009","08"
"20670","AGU","006","05"
"20673","AGU","006","05"
"20674","AGU","006","05"
"20675","AGU","006","05"
"20676","AGU","006","05"
"20677","AGU","006","05"
"20678","AGU","006","05"
"20710","AGU","002","07"
"20712","AGU","002","07"
"20713","AGU","002","07"
"20714","AGU","002","07"
"20715","AGU","002","07"
"20716","AGU","002","07"
"20717","AGU","002","07"
"20800","AGU","003","02"
"20802","AGU","003","02"
"20803","AGU","003","02"
"20804","AGU","003","02"
"20805","AGU","003","02"
"20920","AGU","005","04"
"20922","AGU","005","04"
"20923","AGU","005","04"
"20924","AGU","005","04"
"20925","AGU","005","04"
"20927","AGU","005","04"
"20928","AGU","005","04"
"21000","BCN","002","02"
"21010","BCN","002","02"
"21020","BCN","002","02"
"21030","BCN","002","02"
"21038","BCN","002","02"
"21039","BCN","002","02"
"21040","BCN","002","02"
"21050","BCN","002","02"
"21060","BCN","002","02"
"21070","BCN","002","02"
"21079","BCN","002","02"
"21080","BCN","002","02"
"21090","BCN","002","02"
"21100","BCN","002","02"
"21110","BCN","002","02"
"21120","BCN","002","02"
"21130","BCN","002","02"
"21135","BCN","002","02"
"21137","BCN","002","02"
"21138","BCN","002","02"
"21139","BCN","002","02"
"21140","BCN","002","02"
"21147","BCN","002","02"
"21150","BCN","002","02"
"21160","BCN","002","02"
"21165","BCN","002","02"
"21170","BCN","002","02"
"21178","BCN","002","02"
"21179","BCN","002","02"
"21180","BCN","002","02"
"21185","BCN","002","02"
"21188","BCN","002","02"
"21190","BCN","002","02"
"21200","BCN","002","02"
